South Africa, Southern, Africa, 62, 17.75, -29.0, 24.0
South Sudan, Northern, Africa, 13.2, 28.1, 8.0, 30.0
Spain, Northern, Europe, 48.3, 13.30, 40.0, -4.0
Sri Lanka, Northern, Asia, 22, 26.95, 7.0, 81.0
Sudan, Northern, Africa, 42, 26.90, 15.0, 30.0
Suriname, Northern, South America, 0.6, 25.70, 4.0, -56.0
Sweden, Northern, Europe, 10.5, 1.75, 62.0, 15.0
Switzerland, Northern, Europe, 9, 5.10, 47.0, 8.0
Syria, Northern, Asia, 22.9, 17.75, 35.0, 38.0
Taiwan, Northern, Asia, 23.4, 21.70, 23.5, 121.0
Tajikistan, Northern, Asia, 10.1, 6.40, 39.0, 71.0
Tanzania, Southern, Africa, 61.7, 22.35, -6.0, 35.0
Thailand, Northern, Asia, 68.3, 26.30, 15.0, 100.0
Timor - Leste, Southern, Asia, 1.3, 25.25, -8.55, 125.5167
Togo, Northern, Africa, 8.1, 27.15, 8.0, 1.1667
Tonga, Southern, Australia/Oceania, 0.1, 25.25, -20.0, -175.0
Trinidad and Tobago, Northern, North America, 1.4, 25.75, 11.0, -61.0
Tunisia, Northern, Africa, 11.9, 19.20, 34.0, 9.0
Turkey, Northern, Europe, 85.3, 9.90, 39.0, 35.0
Turkmenistan, Northern, Asia, 7.1, 15.10, 40.0, 60.0
Tuvalu, Southern, Australia/Oceania, 0.01, 27.65, -8.0, 178.0
Uganda, Northern, Africa, 42.9, 22.80, 1.0, 32.0
Ukraine, Northern, Europe, 41.3, 8.30, 49.0, 32.0
United Arab Emirates, Northern, Asia, 9.3, 26.65, 24.0, 54.0
United Kingdom, Northern, Europe, 67, 8.45, 54.0, -2.0
United States, Northern, North America, 335.6, 8.55, 38.0, -97.0
Uruguay, Southern, South America, 3.6, 17.55, -33.0, -56.0
Uzbekistan, Northern, Asia, 36.6, 12.05, 41.0, 64.0
Vanuatu, Southern, Australia/Oceania, 0.3, 23.95, -16.0, 167.0
Venezuela, Northern, South America, 28.3, 25.35, 8.0, -66.0
Vietnam, Northern, Asia, 100, 24.45, 16.0, 106.0
Western Sahara, Northern, Africa, 0.6, 26.70, 24.5, -13.0
Yemen, Northern, Asia, 31.9, 23.85, 15.0, 48.0
Zambia, Southern, Africa, 19.6, 21.40, -15.0, 30.0
Zimbabwe, Southern, Africa, 15.2, 21.00, -20.0, 30.0
